tags,badge,button,card,chip,identification,insignia,logo,marker,
number,figure,statistic,sum,total,cardinal,character,cipher,count,
households,everyday,ordinary,family,home,plain,domiciliary,homely,homey,
total,absolute,comprehensive,entire,full,outright,overall,sheer,unconditional,
population,community,culture,people,populace,public,society,state,citizenry,
male,macho,manful,manlike,manly,paternal,potent,virile,
female,feminine,effeminate,fecund,fertile,maternal,muliebrous,womanish,womanly,
0,
6,
age,life,maturity,old age,youth,adolescence,adulthood,boyhood,childhood,
group,association,band,body,class,club,company,crowd,faction,
persons,body,character,customer,guy,human,individual,life,man,
males,
females,
scheduled,anticipated,expected,becoming,coming,deserved,earned,fair,fit,
caste,stratum,degree,estate,grade,lineage,order,position,race,
tribe,association,caste,clan,people,society,blood,class,division,
person,body,character,customer,guy,human,individual,life,man,
literates,
illiterates,ass,birdbrain,blockhead,bonehead,boob,bore,buffoon,clod,
workers,employee,laborer,peasant,trader,artisan,breadwinner,hand,help,
main,central,essential,fundamental,leading,major,particular,preeminent,primary,
marginal,insignificant,minimal,minor,negligible,bordering,low,on the edge,peripheral,
cultivators,grower,laborer,peasant,producer,rancher,Reaper,agriculturalist,agriculturist,
agricultural,horticultural,rural,aggie,agronomical,arboricultural,floricultural,gardening,ranch,
labourers,
household,everyday,ordinary,family,home,plain,domiciliary,homely,homey,
industry,business,commerce,corporation,management,production,trade,manufactory,mob,
other,alternative,more,new,another,auxiliary,else,extra,farther,
worked,created,fashioned,treated,wrought,
3,
moths,ant,aphid,bee,beetle,butterfly,cockroach,dragonfly,flea,
year,breadth,diameter,dimension,duration,height,limit,magnitude,mileage,
numbern,
adult,developed,grown,grown-up,of age,ripe,ripened,
schools,academy,department,faculty,hall,institute,institution,jail,seminary,
category,class,division,grade,group,kind,league,level,list,
government,authority,law,ministry,politics,power,regime,rule,state,
private,confidential,exclusive,independent,individual,secret,separate,special,closet,
madarsas,
unrecognised,
rural,agrarian,agricultural,backwoods,bucolic,idyllic,pastoral,provincial,rustic,
aided,abet,alleviate,assist,encourage,promote,subsidize,befriend,benefact,
boys,child,fellow,guy,lad,youngster,youth,buck,cadet,
only,alone,apart,by oneself,exclusive,individual,isolated,lone,matchless,
girls,adolescent,daughter,lady,schoolgirl,she,teenager,young woman,Ms,
elementary,elemental,fundamental,rudimentary,straightforward,underlying,ABCs,abecedarian,basal,
enrolment,
school,academy,department,faculty,hall,institute,institution,jail,seminary,
primary,constitutional,dominant,elementary,essential,fundamental,immediate,initial,leading,
upper,uppermost,high,overhead,top,higher,loftier,more elevated,topmost,
sec,breath,crack,flash,jiffy,juncture,minute,occasion,point,
h.sec,
response,feedback,reply,return,acknowledgment,antiphon,comeback,counter,echo,
unrecognized,anonymous,bearded,camouflaged,concealed,disguised,hidden,incog,isolated,
teacher,assistant,coach,educator,faculty member,instructor,lecturer,professor,scholar,
unrcognized,
attended,show up,visit,appear,catch,frequent,haunt,show,be a guest,
15,
years,agedness,dotage,generation,lifespan,lifetime,oldness,senescence,senility,
profile,figure,portrait,sketch,contour,delineation,figuration,form,likeness,
child,adolescent,baby,infant,juvenile,kid,minor,offspring,teenager,
sex,sexuality,femininity,manhood,manliness,masculinity,womanhood,womanliness,
ratio,proportion,quota,rate,scale,arrangement,correlation,correspondence,equation,
birth,beginning,childbirth,creation,delivery,bearing,birthing,childbearing,labor,
children,adolescent,baby,infant,juvenile,kid,minor,offspring,teenager,
born,constitutional,essential,natural,built-in,congenital,deep-seated,inborn,inbred,
1000,
registered,certified,cataloged,enrolled,
share,contribution,dividend,division,interest,part,percentage,proportion,stake,
electricity,heat,service,AC,DC,current,electron,galvanism,ignition,
improved,enhanced,revised,upgraded,ameliorated,amended,augmented,bettered,corrected,
drinking,consume,drain,gulp,guzzle,inhale,quaff,sip,slurp,
water,drink,rain,H2O,aqua,rainwater,saliva,tears,Adam's ale,
source,authority,cause,expert,origin,antecedent,author,authorship,begetter,
sanitation,cleanliness,hygiene,asepsis,disinfection,hygienics,
facility,address,adroitness,aptitude,bent,competence,dexterity,efficiency,effortlessness,
clean,blank,bright,clear,elegant,fresh,graceful,hygienic,immaculate,
fuel,ammunition,electricity,food,gas,material,combustible,encouragement,incitement,
cooking,baking,boiling,brewing,broiling,browning,frying,grilling,heating,
iodized,
salt,flavoring,spice,alkali,brine,condiment,flavor,relish,savor,
health,energy,fitness,strength,well-being,bloom,complexion,constitution,euphoria,
insurance,allowance,coverage,guarantee,assurance,backing,cover,indemnification,indemnity,
women,
literate,cultured,educated,knowledgeable,cultivated,instructed,learned,lettered,scholarly,
characteristics,aspect,attribute,component,essence,flavor,nature,peculiarity,personality,
adults,
49,
men,brother,father,fellow,guy,he,husband,son,Mr.,
10,bad,finest,first,first-rate,leading,outstanding,perfect,terrific,
schooling,apprenticeship,coaching,instruction,learning,literacy,scholarship,teaching,training,
20,
24,
married,espoused,joined,marital,mated,united,joined in holy matrimony,
18,
25,
29,
21,
marriage,merger,wedding,Sacrament,alliance,amalgamation,association,confederation,consortium,
fertility,potency,pregnancy,productivity,virility,abundance,copiousness,fecundity,fruitfulness,
19,
pregnant,abundant,anticipating,carrying a child,enceinte,expectant,expecting,fecund,fertile,
mother,mom,parent,ancestor,creator,mommy,origin,predecessor,progenitor,
any,all,each,either,several,a bit,a little,each and every,in general,
method,approach,arrangement,design,form,habit,manner,mechanism,mode,
current,modern,ongoing,present,prevailing,fad,general,in,instant,
use,adoption,benefit,handling,help,need,operation,practice,purpose,
family,clan,folk,group,house,household,people,tribe,ancestors,
planning,plan,devising,outlining,
methods,approach,arrangement,design,form,habit,manner,mechanism,mode,
currently,
modern,contemporary,current,modernized,present-day,state-of-the-art,stylish,avant-garde,concomitant,
sterilization,castration,infertility,barrenness,fecundity,fruitlessness,
iud,abortion,abstinence,condom,contraceptive,diaphragm,family planning,pill,vasectomy,
ppiud,
pill,dose,medicine,tablet,bolus,lozenge,pellet,troche,pilule,
condom,contraceptive,johnny,prophylactic,protection,raincoat,rubber,safe,sheath,
unmet,
need,commitment,demand,obligation,right,urgency,use,wish,charge,
spacing,architecture,balance,beauty,configuration,content,design,distribution,formation,
worker,employee,laborer,peasant,trader,artisan,breadwinner,hand,help,
talked,chat,communicate,describe,express,reveal,say,sing,speak,
non,
users,
quality,aspect,character,condition,element,kind,nature,trait,affection,
services,account,assistance,benefit,business,duty,employment,maintenance,office,
told,advise,announce,confess,declare,disclose,explain,express,inform,
effects,accouterments,chattels,goods,holdings,paraphernalia,possessions,property,stuff,
mothers,administrator,architect,author,builder,creator,dean,elder,encourager,
antenatal,
check,analysis,audit,checkup,control,inquiry,investigation,research,review,
trimester,
maternity,gestation,motherhood,parenthood,maternology,
care,responsibility,affliction,aggravation,alarm,anguish,annoyance,anxiety,apprehension,
5,
survey,analysis,audit,check,inquiry,inspection,review,sample,study,
maternal,parental,affectionate,kind,protective,sympathetic,
protected,covered,guaranteed,guarded,preserved,secured,sheltered,camouflaged,cherished,
neonatal,
tetanus,
consumed,absorb,deplete,devour,dominate,drain,eat up,employ,exhaust,
iron,rigid,steely,adamant,firm,heavy,immovable,steel,thick,
folic,
acid,acerbic,biting,piquant,pungent,sharp,tart,acidulous,vinegarish,
100,
days,daylight,daytime,light,sunlight,sunshine,astronomical day,bright,dawn-to-dark,
ful,
pregnancies,fertilization,germination,gravidity,gravidness,impregnation,parturiency,propagation,child-bearing,
received,accepted,acknowledged,collected,earned,acquired,admitted,derived,gathered,
protection,conservation,insurance,preservation,safeguard,safety,security,shelter,stability,
mcp,
card,badge,calendar,check,label,poster,program,sheet,ticket,
postnatal,
doctor,expert,physician,professor,scientist,specialist,surgeon,MD,bones,
nurse,assistant,attendant,medic,registered nurse,therapist,RN,caretaker,minder,
lhv,
anm,
midwife,
personnel,cadre,crew,group,organization,people,staff,troop,work force,
2,
delivery,consignment,distribution,shipment,transmission,carting,commitment,conveyance,dispatch,
jsy,
average,mediocre,moderate,ordinary,regular,boilerplate,common,commonplace,fair,
pocket,abridged,canned,capsule,compact,condensed,diminutive,epitomized,little,
expenditure,amount,consumption,cost,disbursement,expense,figure,investment,outlay,
public,civic,civil,communal,governmental,mutual,national,popular,social,
rs,
home,central,familiar,family,household,local,national,native,at ease,
taken,appropriated,arrested,seized,
hours,bit,date,flash,hour,juncture,minute,occasion,point,
institutional,
conducted,attend,control,direct,handle,keep,manage,operate,order,
skilled,able,adept,experienced,proficient,expert,
deliveries,consignment,distribution,shipment,transmission,carting,commitment,conveyance,dispatch,
births,beginning,childbirth,creation,delivery,bearing,birthing,childbearing,labor,
assisted,aid,back,benefit,boost,cooperate,expedite,facilitate,reinforce,
delivered,conveyed,deposited,dispatched,expressed,forwarded,mailed,sent,shipped,
caesarean,C-section,Cesarean section,abdominal delivery,caesarean,caesarian,cesarean,surgical birth,surgical delivery,
section,area,branch,category,chunk,department,district,field,part,
12,
fully,absolutely,entirely,perfectly,positively,quite,thoroughly,totally,wholly,
immune,exempt,resistant,unaffected,clear,free,safe,allowed,favored,
23,
months,age,date,day,era,future,generation,hour,life,
bcg,
immunizations,
vitamin,fiber,food,mineral,vitamin,nutriment,supplements,health food,
a,
supplementation,
doses,application,dosage,lot,measure,measurement,prescription,quantity,shot,
polio,
vaccine,dose,needle,booster,dram,enema,inoculation,vaccine,
dpt,
measles,
hepatitis,
b,
9,
59,
dose,application,dosage,lot,measure,measurement,prescription,quantity,shot,
vaccinations,inoculation,shot,
prevalence,pervasiveness,popularity,currency,preponderance,ubiquity,vogue,
diarrhoea,Montezuma's revenge,backdoor trots,diarrhea,diarrhoea,dysentery,flux,loose stool,runs,
reported,announced,described,disclosed,expressed,noted,proclaimed,recorded,rumored,
weeks,age,date,day,era,future,generation,hour,life,
preceding,introductory,previous,prior,foregoing,forward,front,head,lead,
treatment,analysis,cure,hospitalization,medication,medicine,operation,prescription,regimen,
childhood,adolescence,babyhood,cradle,immaturity,infancy,juvenility,minority,nonage,
diseases,Cancer,bug,condition,contamination,defect,disorder,epidemic,fever,
oral,lingual,sonant,vocal,articulate,ejaculatory,narrated,phonated,phonetic,
rehydration,
salts,flavoring,spice,alkali,brine,condiment,flavor,relish,savor,
ors,
zinc,gold,iron,metal,mineral,platinum,blende,bronze,copper,
symptoms,manifestation,syndrome,evidence,expression,index,indication,mark,note,
acute,intense,keen,sharp,subtle,sensitive,smart,astute,canny,
respiratory,
infection,bug,disease,epidemic,flu,pollution,virus,contagion,corruption,
ari,
fever,delirium,frenzy,turmoil,ecstasy,excitement,ferment,fervor,fire,
breastfed,
hour,bit,date,flash,hour,juncture,minute,occasion,point,
birth9,
feeding,bolster,deliver,encourage,fill,find,fuel,give,maintain,
practices,form,habit,method,proceeding,process,rule,system,tradition,
nutritional,alimental,alimentary,alimentative,balanced,beneficial,good,health-giving,healthful,
status,condition,dignity,place,position,prestige,prominence,quality,rating,
exclusively,alone,completely,entirely,only,solely,wholly,but,one and only,
breastfed10,
8,
receiving,accepting,acquiring,collecting,drawing,earning,gathering,getting,inheriting,
solid,stable,strong,sturdy,substantial,tight,close,compact,concrete,
semi,apparent,apparently,fake,mock,near,nominal,partly,pretended,
food,bread,cooking,cuisine,drink,fare,feed,foodstuff,meal,
breastmilk10,
breastfeeding,
adequate,acceptable,capable,competent,decent,fair,satisfactory,sufficient,suitable,
diet10,
11,
stunted,dwarf,dwarfed,scrub,short,shot,shrimp,wee,bantam,
height,ceiling,crest,elevation,extent,peak,pinnacle,prominence,stature,
wasted,atrophied,attenuated,famished,lean,shrivelled,starved,thin,undernourished,
weight,burden,density,gravity,heft,load,pressure,substance,adiposity,
severely,acutely,badly,critically,dangerously,extremely,firmly,markedly,painfully,
13,
underweight,malnourished,starved,undernourished,angular,anorectic,bony,gangly,puny,
body,carcass,frame,torso,anatomy,beefcake,bod,build,chassis,
mass,crowd,group,horde,lot,lump,majority,mob,number,
index,indicator,ratio,basis,clue,evidence,formula,guide,hand,
bmi,
normal,natural,orderly,ordinary,regular,routine,traditional,typical,average,
kg,
m2,
14,
overweight,corpulent,obese,pudgy,fat,gross,heavy,outsize,plump,
obese,corpulent,adipose,avoirdupois,fat,fleshy,gross,heavy,outsize,
anaemia,
month,age,date,day,era,future,generation,hour,life,
anaemic,
g,
dl,
blood,juice,claret,clot,gore,hemoglobin,plasma,cruor,sanguine fluid,
sugar,carbohydrate,candy,caramel,dextrose,fructose,glucose,lactose,levulose,
level,matched,aligned,calm,common,constant,equivalent,even,exact,
high,big,great,huge,immense,large,lofty,long,soaring,
140,
mg,
160,
slightly,kind of,lightly,marginally,somewhat,hardly,hardly at all,hardly noticeable,imperceptibly,
systolic,
159,
mm,
hg,
diastolic,
90,
99,
hypertension,
moderately,a little,fairly,quite,rather,reasonably,slightly,somewhat,passably,
179,
109,
very,actual,appropriate,authentic,bare,bona fide,correct,especial,express,
180,
110,
cervix,
who,
have,accept,acquire,admit,bear,carry,enjoy,gain,get,
ever,consistently,constantly,continually,forever,regularly,usually,anytime,at all,
undergone,
examinations,audit,checking,checkup,cross-examination,diagnosis,experiment,exploration,inquiry,
breast,bosom,chest,nipple,bust,front,mammilla,teat,udder,
cavity,crater,armpit,atrium,basin,bursa,caries,chamber,decay,
sub,alternate,auxiliary,backup,replacement,second,standby,understudy,below,
centers,heart,hub,place,axis,bull's-eye,centrality,centriole,centrum,
community,association,center,company,district,nation,neighborhood,people,public,
district,commune,community,department,locality,neighborhood,parish,precinct,region,
hospitals,
detail,article,design,element,fact,part,plan,schedule,structure,
entered,enrolled,listed,posted,recorded,
with,along,alongside,amidst,among,beside,by,for,including,
without,after,beyond,externally,left out,on the outside,out,out-of-doors,outdoors,
toilet,ablutions,attire,dressing,grooming,make-up,toilette,getting ready,tidy-up,
having,accept,acquire,admit,bear,carry,enjoy,gain,get,
below,down,beneath,under,down from,underneath,
poverty,bankruptcy,debt,deficit,difficulty,famine,hardship,lack,scarcity,
line,boundary,channel,edge,band,bar,borderline,configuration,contour,
above,raised,high,over,overhead,superior,aloft,atop,beyond,
's,
accessing,penetrate,permeate,pervade,access,crack,foist,impregnate,insinuate,
covered,camouflaged,capped,closed,coated,concealed,enclosed,hidden,painted,
bls,
including,counting,along with,among other things,as well as,in addition to,in conjunction with,inclusive of,made up of,
coverage,analysis,insurance,report,broadcasting,description,indemnity,scope,
unapproved,illegal,illegitimate,pirated,unapproved,unconstitutional,unjustified,unlawful,unofficial,
gram,
panchayat,
declared,announced,stated,affirmed,self-confessed,
odf,
verified,documented,verifiable,established,seen,substantiated,confirmable,verificatory,
numbert,
villages,center,suburb,crossroads,hamlet,
exist,continue,endure,happen,lie,live,occur,prevail,remain,
unhabitated,
wise,astute,aware,careful,educated,enlightened,experienced,informed,judicious,
village,center,suburb,crossroads,hamlet,
cumulative,aggregate,increasing,accumulative,additive,additory,advancing,amassed,augmenting,
issued,expressed,announced,broadcast,delivered,disseminated,distributed,promulgated,published,
job,activity,appointment,assignment,business,career,office,operation,place,
cards,badge,calendar,check,label,poster,program,sheet,ticket,
tribes,association,caste,clan,people,society,blood,class,division,
all,complete,entire,full,greatest,gross,outright,perfect,total,
employment,business,contracting,enrollment,hiring,job,recruitment,service,trade,
demanded,appeal,challenge,claim,expect,force,order,press,question,
offered,afford,allow,award,display,donate,extend,give,grant,
provided,add,administer,afford,arrange,bring,cater,contribute,equip,
persondays,
generated,achieve,bring about,cause,develop,engender,make,provoke,set up,
families,clan,folk,group,house,household,people,tribe,ancestors,
completed,concluded,ended,finished,built,done,
beneficiary,heir,recipient,assignee,devisee,donee,grantee,heiress,inheritor,
land,acreage,area,beach,continent,country,countryside,district,earth,
reform,amend,improve,rebuild,rehabilitate,remake,renovate,reorganize,repair,
iay,
disabled,handicapped,infirm,paralyzed,weakened,wounded,confined,disarmed,hamstrung,
individuals,child,entity,human being,man,party,person,woman,being,
educational,academic,cultural,informational,scholarly,didactic,informative,instructive,scholastic,
summary,arbitrary,cursory,curt,hasty,succinct,terse,brief,compact,
overview,analysis,audit,critique,examination,sketch,synopsis,inquiry,inspection,
infrastructure,base,framework,footing,groundwork,root,support,underpinning,
