FIELD,open land that can be cultivated,persons taking part in competition,sphere of influence,activity,interest,study,arena with special use,as athletics,catch a hit or thrown object,,,,,,,,,
Households,domestic,domestic establishment,,,,,,,,,,,,,,,,
with,,,,,,,,,,,,,,,,,,
solar,,,,,,,,,,,,,,,,,,
energy,person's spirit and vigor,generated power,,,,,,,,,,,,,,,,
as,while,when,in the way that, to a degree,because,in the role of,,,,,,,,,,,,
main,principal,predominant,absolute,utter,pipe for system,,,,,,,,,,,,,
source,,,,,,,,,,,,,,,,,,
of,from,denoting equivalence,,,,,,,,,,,,,,,,
lighting,illumination,ignition,,,,,,,,,,,,,,,,
power,ability,competence,physical ability,capacity,control,dominance,,,,,,,,,,,,
panel,,,,,,,,,,,,,,,,,,
panels,,,,,,,,,,,,,,,,,,
Total,complete,thorough,whole,add up,,,,,,,,,,,,,,
in,,,,,,,,,,,,,,,,,,
District,,,,,,,,,,,,,,,,,,
number,unit of the mathematical system,aggregate,bunch,count,calculate,no.,#,,,,,,,,,,,
houses,human habitat,family,ancestry,business establishment,government body,sometimes elected,responsible for laws,,,,,,,,,,,
#,number ,,,,,,,,,,,,,,,,,
total,complete,thorough,whole,add up,,,,,,,,,,,,,,
no.,number ,,,,,,,,,,,,,,,,,
no,negative,not,,,,,,,,,,,,,,,,
%,percent,percentage,relative,,,,,,,,,,,,,,,
without,,,,,,,,,,,,,,,,,,
lights,luminescence from sun or other source,context,point of view, understanding,illuminate,start on fire,step down, land,,,,,,,,,,
percent,,,,,,,,,,,,,,,,,,
light,illuminated,blond,fair,not heavy,small in amount,content,simple,easy,funny,cheery,luminescence from sun or other source,context,point of view, understanding,illuminate,start on fire,step down, land
drinking,,,,,,,,,,,,,,,,,,
water,pure liquid hydrogen and oxygen,dampen, put water in,,,,,,,,,,,,,,,
within,,,,,,,,,,,,,,,,,,
premesis,,,,,,,,,,,,,,,,,,
houses,percent of houses,house percentage,number of houses,,,,,,,,,,,,,,,
premesis,,,,,,,,,,,,,,,,,,
Person,,,,,,,,,,,,,,,,,,
illiterates,mooncalf,ninny,schmo,schmuck,softhead,tomfool,turkey,fool,Illiterates,iliterates,,,,,,,,
illiteracy,,,,,,,,,,,,,,,,,,
rate,ratio,proportion,fee charged for service,privilege,goods,speed,pace,judge,classify,be entitled to,,,,,,,,
Non,non,,,,,,,,,,,,,,,,,
Workers,number of workers,workers,worker,,,,,,,,,,,,,,,
Persons,number of people,number of persons,persons,person,,,,,,,,,,,,,,
unemployed,,,,,,,,,,,,,,,,,,
people,People,,,,,,,,,,,,,,,,,
Marginal,marginal,,,,,,,,,,,,,,,,,
worked,,,,,,,,,,,,,,,,,,
for,in consequence of the fact that,in consideration of,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,
moths,insect,caterpillar,,,,,,,,,,,,,,,,
during,,,,,,,,,,,,,,,,,,
last,final, newest,end,,,,,,,,,,,,,,,
year,length,time,vintage,senectitude,senescence,date,,,,,,,,,,,,
Males,male,men,,,,,,,,,,,,,,,,
male,masculine,man,,,,,,,,,,,,,,,,
marginal,,,,,,,,,,,,,,,,,,
experience,knowledge,happening,occurrence,,,,,,,,,,,,,,,
to,in the direction of,indicating position,until,so that,indicating degree,indicating results,,,,,,,,,,,,
months,,,,,,,,,,,,,,,,,,
6,six,,,,,,,,,,,,,,,,,
Household,domestic,domestic establishment,household,,,,,,,,,,,,,,,
Industry,manufacturing,hard work,industry,,,,,,,,,,,,,,,
Females,girls,feminine,females,,,,,,,,,,,,,,,
female,having the qualities or characteristics of a woman,woman,,,,,,,,,,,,,,,,
household,domestic,domestic establishment,,,,,,,,,,,,,,,,
industry,manufacturing,hard work,,,,,,,,,,,,,,,,
Agricultural,agricultural,agriculture,,,,,,,,,,,,,,,,
Labourers,labourers,labourer,,,,,,,,,,,,,,,,
Cultivators,cultivators,cultivator,,,,,,,,,,,,,,,,
Main,principal,predominant,absolute,utter,pipe for system,main,,,,,,,,,,,,
Other,additional,added,different,other,,,,,,,,,,,,,,
others,rest,alternative,,,,,,,,,,,,,,,,
(Main+Marginal),total workers,,,,,,,,,,,,,,,,,
Male,masculine,man,,,,,,,,,,,,,,,,
Literates,literates,literate,,,,,,,,,,,,,,,,
Female,having the qualities or characteristics of a woman,woman,feminine,,,,,,,,,,,,,,,
girls,females,,,,,,,,,,,,,,,,,
literacy,,,,,,,,,,,,,,,,,,
males,,,,,,,,,,,,,,,,,,
working,,,,,,,,,,,,,,,,,,
females,,,,,,,,,,,,,,,,,,
cultivators,,,,,,,,,,,,,,,,,,
agricultural,,,,,,,,,,,,,,,,,,
labourers,,,,,,,,,,,,,,,,,,
labour,,,,,,,,,,,,,,,,,,
electricity,,,,,,,,,,,,,,,,,,
DLHS-4,,,,,,,,,,,,,,,,,,
Scheduled,,,,,,,,,,,,,,,,,,
Tribe,,,,,,,,,,,,,,,,,,
ST,,,,,,,,,,,,,,,,,,
scheduled,,,,,,,,,,,,,,,,,,
tribe,,,,,,,,,,,,,,,,,,
Caste,,,,,,,,,,,,,,,,,,
SC,,,,,,,,,,,,,,,,,,
Upper,above,superior,,,,,,,,,,,,,,,,
Primary,,,,,,,,,,,,,,,,,,
Drop,globule,steep decline, hole,decrease,fall in globules,let go of, fall,abandon, ignore,,,,,,,,,
Out,not possible, gone,outside,outdoors,,,,,,,,,,,,,,
Rate,ratio,proportion,fee charged for service,privilege,goods,speed,pace,judge,classify,be entitled to,,,,,,,,
DISE,,,,,,,,,,,,,,,,,,
drop,globule,steep decline, hole,decrease,fall in globules,let go of, fall,abandon, ignore,,,,,,,,,
out,not possible, gone,outside,outdoors,,,,,,,,,,,,,,
dropout,,,,,,,,,,,,,,,,,,
landline,,,,,,,,,,,,,,,,,,
phone,,,,,,,,,,,,,,,,,,
households,domestic,domestic establishment,,,,,,,,,,,,,,,,
landlines,,,,,,,,,,,,,,,,,,
percentage,,,,,,,,,,,,,,,,,,
computer/laptop,,,,,,,,,,,,,,,,,,
internet,,,,,,,,,,,,,,,,,,
connection,person who aids another in achieving goal,something that connects,links,something that communicates,relates,,,,,,,,,,,,,
improved,made better,in better health,,,,,,,,,,,,,,,,
0-6,,,,,,,,,,,,,,,,,,
Age,period of animate existence,a period of time,become older,,,,,,,,,,,,,,,
Group,number of individuals collectively,bring together,classify,sort,,,,,,,,,,,,,,
age,period of animate existence,a period of time,become older,,,,,,,,,,,,,,,
children,,,,,,,,,,,,,,,,,,
0-6years,,,,,,,,,,,,,,,,,,
years,,,,,,,,,,,,,,,,,,
old,advanced in age,obsolete,outdated,traditional,long-established,,,,,,,,,,,,,
group,number of individuals collectively,bring together,classify,sort,,,,,,,,,,,,,,
boys,,,,,,,,,,,,,,,,,,
Schools,place,system for educating,persons receiving education,body of philosophy on subject,teach,,,,,,,,,,,,,
facility,ease, ability,convenience,,,,,,,,,,,,,,,
toilet,grooming or dressing one's person,bathroom,bathroom,,,,,,,,,,,,,,,
primary,,,,,,,,,,,,,,,,,,
schools,place,system for educating,persons receiving education,body of philosophy on subject,teach,,,,,,,,,,,,,
Teachers,,,,,,,,,,,,,,,,,,
teachers,,,,,,,,,,,,,,,,,,
Girl's,,,,,,,,,,,,,,,,,,
Enrolment,,,,,,,,,,,,,,,,,,
enrollment,,,,,,,,,,,,,,,,,,
Student-Classroom,,,,,,,,,,,,,,,,,,
Ratio,,,,,,,,,,,,,,,,,,
Student,ratio,,,,,,,,,,,,,,,,,
Classroom,,,,,,,,,,,,,,,,,,
Gross,large,fat,whole,crude,vulgar,obvious,apparent,total,whole,bring in as total,,,,,,,,
GER,,,,,,,,,,,,,,,,,,
gross,large,fat,whole,crude,vulgar,obvious,apparent,total,whole,bring in as total,,,,,,,,
ratio,,,,,,,,,,,,,,,,,,
Pupil-Teacher,pupil to teacher,,,,,,,,,,,,,,,,,
Teacher,,,,,,,,,,,,,,,,,,
Student-Teacher,student to teacher,,,,,,,,,,,,,,,,,
Pupil,pupil,,,,,,,,,,,,,,,,,
teacher,,,,,,,,,,,,,,,,,,
upper,above,superior,,,,,,,,,,,,,,,,
New,recent,fresh,additional,modernized,restored,recently,,,,,,,,,,,,
Government,,,,,,,,,,,,,,,,,,
since,because,between the present and a previous time,in the time past, because,,,,,,,,,,,,,,
new,recent,fresh,additional,modernized,restored,recently,,,,,,,,,,,,
govt,government,,,,,,,,,,,,,,,,,
public,community,general,known,acknowledged,people of community, people interested in something,,,,,,,,,,,,
student,,,,,,,,,,,,,,,,,,
faculty,ability,skill,teachers in educational institution,,,,,,,,,,,,,,,
classroom,,,,,,,,,,,,,,,,,,
Villages,villages,village,,,,,,,,,,,,,,,,
Sub-Health,Sub-health,,,,,,,,,,,,,,,,,
Centres,centres,,,,,,,,,,,,,,,,,
3km,kilometres,,,,,,,,,,,,,,,,,
villages,,,,,,,,,,,,,,,,,,
SHC,,,,,,,,,,,,,,,,,,
sub,,,,,,,,,,,,,,,,,,
health,,,,,,,,,,,,,,,,,,
centre,,,,,,,,,,,,,,,,,,
Population,,,,,,,,,,,,,,,,,,
count,tally, number,add,check in order,consider,deem,have importance,include,,,,,,,,,,
population,,,,,,,,,,,,,,,,,,
PHCs,,,,,,,,,,,,,,,,,,
functioning,active,operation,,,,,,,,,,,,,,,,
on,,,,,,,,,,,,,,,,,,
a,,,,,,,,,,,,,,,,,,
24x7hours,,,,,,,,,,,,,,,,,,
basis,physical foundation,foundation for belief,action,,,,,,,,,,,,,,,
PHC,,,,,,,,,,,,,,,,,,
Number,unit of the mathematical system,aggregate,bunch,count,calculate,,,,,,,,,,,,,
Hospitals,,,,,,,,,,,,,,,,,,
(#),,,,,,,,,,,,,,,,,,
district,,,,,,,,,,,,,,,,,,
hospitals,,,,,,,,,,,,,,,,,,
Mean,ungenerous,hostile,rude,poor, of or in inferior circumstances,average,signify,convey,have in mind, intend,,,,,,,,
at,,,,,,,,,,,,,,,,,,
marriage,,,,,,,,,,,,,,,,,,
avg,average,Average,,,,,,,,,,,,,,,,
average,normal,typical,numerical mean,normal,typical amount,obtain numerical mean,,,,,,,,,,,,
mobile,,,,,,,,,,,,,,,,,,
phones,,,,,,,,,,,,,,,,,,
Currently,currently,,,,,,,,,,,,,,,,,
married,,,,,,,,,,,,,,,,,,
men,,,,,,,,,,,,,,,,,,
below,lower,less than, beneath,,,,,,,,,,,,,,,
21years,,,,,,,,,,,,,,,,,,
child,,,,,,,,,,,,,,,,,,
boy,,,,,,,,,,,,,,,,,,
Net,profiting,mesh,web,capture,gain after expenses,,,,,,,,,,,,,
NER,,,,,,,,,,,,,,,,,,
net,profiting,mesh,web,capture,gain after expenses,,,,,,,,,,,,,
women,,,,,,,,,,,,,,,,,,
18years,,,,,,,,,,,,,,,,,,
girl,,,,,,,,,,,,,,,,,,
Prevalence,,,,,,,,,,,,,,,,,,
Anaemia,anaemia,,,,,,,,,,,,,,,,,
aged,,,,,,,,,,,,,,,,,,
15-49years,,,,,,,,,,,,,,,,,,
Severe,uncompromising,stern,difficult,harsh,acute,,,,,,,,,,,,,
(6-59months),6 to 59 months,,,,,,,,,,,,,,,,,
Acute,deeply perceptive,very important,severe,intense,having a sharp end or point,,,,,,,,,,,,,
illness,ilness,,,,,,,,,,,,,,,,,
Births,becoming alive,beginning,heritage,,,,,,,,,,,,,,,
15-19years,15 to 19 years,,,,,,,,,,,,,,,,,
births,becoming alive,beginning,heritage,,,,,,,,,,,,,,,
minor,insignificant,small,person under legal age of maturity,,,,,,,,,,,,,,,
mothers,founder,inventor,female person who has borne children,,,,,,,,,,,,,,,
given,,,,,,,,,,,,,,,,,,
15-19,15 to 19,,,,,,,,,,,,,,,,,
Sex,male or female gender,intercourse between animate beings,,,,,,,,,,,,,,,,
per,for each,by means of,,,,,,,,,,,,,,,,
1000,,,,,,,,,,,,,,,,,,
males,,,,,,,,,,,,,,,,,,
gender,,,,,,,,,,,,,,,,,,
severe,uncompromising,stern,difficult,harsh,,,,,,,,,,,,,,
anaemia,,,,,,,,,,,,,,,,,,
Chronic,,,,,,,,,,,,,,,,,,
Children,,,,,,,,,,,,,,,,,,
who,,,,,,,,,,,,,,,,,,
received,,,,,,,,,,,,,,,,,,
full,brimming,filled,thorough,deep in sound,satiated in hunger,,,,,,,,,,,,,
vaccination,,,,,,,,,,,,,,,,,,
stats,photocopy,replica,reproduction,track record,statistics,census,spawning,duplicate,facsimile,replicate,copy,counterfeit,duplicate,,,,,
vaccinated,,,,,,,,,,,,,,,,,,
Current,contemporary, common,flow of something,usually water,,,,,,,,,,,,,,
use,application, employment,work with, consume,,,,,,,,,,,,,,
any,,,,,,,,,,,,,,,,,,
modern,,,,,,,,,,,,,,,,,,
method,means,procedure,order,pattern,,,,,,,,,,,,,,
family,,,,,,,,,,,,,,,,,,
planning,,,,,,,,,,,,,,,,,,
current,contemporary, common,flow of something,usually water,,,,,,,,,,,,,,
usage,,,,,,,,,,,,,,,,,,
methods,means,procedure,order,pattern,,,,,,,,,,,,,,
unmet,,,,,,,,,,,,,,,,,,
need,want,requirement,poverty,emergency, pressing lack,want something,,,,,,,,,,,,
lack,deficiency,need,do not have,,,,,,,,,,,,,,,
Institutional,,,,,,,,,,,,,,,,,,
Deliveries,transfer,transmittal,articulation of message,childbirth,giving of freedom,,,,,,,,,,,,,
institutional,,,,,,,,,,,,,,,,,,
deliveries,transfer,transmittal,articulation of message,childbirth,giving of freedom,,,,,,,,,,,,,
hospital,,,,,,,,,,,,,,,,,,
literate,,,,,,,,,,,,,,,,,,
Health,,,,,,,,,,,,,,,,,,
Centre,,,,,,,,,,,,,,,,,,
